,Problem,Vehicles_cg,Distance_cg,LP_value_cg,Iterations,time_cg,Vehicles,Distance,Ratio
10,C101,10,828.937,828.9369999999998,194,18.40078067779541,10.0,828.94,1.0000036190928865
26,C102,10,830.815,830.8149999999998,526,189.24046277999878,10.0,828.94,0.9977431798896265
27,C103,10,831.6229999999999,831.6229999999998,545,396.5917320251465,10.0,828.06,0.9957156067112141
28,C104,12,916.3720000000001,854.42595,145,378.1977651119232,10.0,824.78,0.9000493249466373
25,C105,10,828.937,828.9370000000002,328,49.71515512466431,10.0,828.94,1.0000036190928865
11,C106,10,828.9370000000001,828.9370000000002,305,63.18577289581299,10.0,828.94,1.0000036190928863
14,C107,10,828.937,828.937,371,77.05300283432007,10.0,828.94,1.0000036190928865
12,C108,10,828.937,828.937,436,137.0586280822754,10.0,828.94,1.0000036190928865
13,C109,10,828.937,828.9369999999996,520,227.7345998287201,10.0,828.94,1.0000036190928865
16,R101,20,1651.9150000000002,1636.3860000000004,115,6.8749589920043945,19.0,1650.8,0.9993250258033857
5,R102,18,1475.4160000000002,1475.3400000000001,190,21.703665018081665,17.0,1486.12,1.0072549030239606
8,R103,15,1229.69,1217.0255595238093,147,39.52503967285156,13.0,1292.68,1.0512242923013118
9,R104,12,1028.4879999999998,971.3990222103084,89,54.93910622596741,9.0,1007.31,0.9794086075870599
4,R105,15,1389.563,1359.4200979607842,118,18.059772968292236,14.0,1377.11,0.991038189704245
17,R106,14,1256.424,1241.2762386706947,117,29.751378774642944,12.0,1252.03,0.9965027729492592
21,R107,12,1105.908,1064.4260299644404,105,70.75323700904846,10.0,1104.66,0.9988715155329378
18,R108,11,998.5510000000003,926.7116105939762,98,133.19730830192566,9.0,960.88,0.9622743355121568
20,R109,13,1177.8439999999998,1142.4730304119194,72,25.564689874649048,11.0,1194.73,1.014336363728983
0,R110,12,1146.2890000000002,1079.6023604282916,85,50.12373685836792,10.0,1118.84,0.9760540317494102
1,R111,13,1111.6390000000001,1053.6939429157903,107,55.72810697555542,10.0,1096.72,0.986579276185884
15,R112,12,1056.255,966.4698516672873,92,163.46334314346313,9.0,982.14,0.9298322848175865
24,RC101,18,1679.7429999999997,1592.0851024713681,197,25.245742082595825,,,
6,RC102,15,1506.68,1414.5467263415524,173,52.525397062301636,12.0,1554.75,1.0319045849151778
3,RC103,12,1311.3450000000003,1234.8906505217271,139,64.95341801643372,11.0,1261.67,0.9621190457126079
2,RC104,11,1181.21,1116.3008807822591,89,67.55313372612,10.0,1135.48,0.9612854615182737
7,RC105,16,1548.7619999999997,1483.7864166666666,169,32.476601123809814,13.0,1629.44,1.0520919289083799
23,RC106,14,1402.7,1328.025115495508,116,37.47369885444641,11.0,1424.73,1.0157054252513011
19,RC107,13,1292.8529999999998,1199.6885126459147,96,41.06767392158508,11.0,1230.48,0.951755536012215
22,RC108,12,1229.205,1121.2742760433819,155,108.10498309135437,10.0,1139.82,0.9272822678072413
